"subject","activity","tBodyAcc-mean()-X.mean","tBodyAcc-mean()-X.std","tBodyAcc-mean()-Y.mean","tBodyAcc-mean()-Y.std","tBodyAcc-mean()-Z.mean","tBodyAcc-mean()-Z.std","tBodyAcc-std()-X.mean","tBodyAcc-std()-X.std","tBodyAcc-std()-Y.mean","tBodyAcc-std()-Y.std","tBodyAcc-std()-Z.mean","tBodyAcc-std()-Z.std","tGravityAcc-mean()-X.mean","tGravityAcc-mean()-X.std","tGravityAcc-mean()-Y.mean","tGravityAcc-mean()-Y.std","tGravityAcc-mean()-Z.mean","tGravityAcc-mean()-Z.std","tGravityAcc-std()-X.mean","tGravityAcc-std()-X.std","tGravityAcc-std()-Y.mean","tGravityAcc-std()-Y.std","tGravityAcc-std()-Z.mean","tGravityAcc-std()-Z.std","tBodyAccJerk-mean()-X.mean","tBodyAccJerk-mean()-X.std","tBodyAccJerk-mean()-Y.mean","tBodyAccJerk-mean()-Y.std","tBodyAccJerk-mean()-Z.mean","tBodyAccJerk-mean()-Z.std","tBodyAccJerk-std()-X.mean","tBodyAccJerk-std()-X.std","tBodyAccJerk-std()-Y.mean","tBodyAccJerk-std()-Y.std","tBodyAccJerk-std()-Z.mean","tBodyAccJerk-std()-Z.std","tBodyGyro-mean()-X.mean","tBodyGyro-mean()-X.std","tBodyGyro-mean()-Y.mean","tBodyGyro-mean()-Y.std","tBodyGyro-mean()-Z.mean","tBodyGyro-mean()-Z.std","tBodyGyro-std()-X.mean","tBodyGyro-std()-X.std","tBodyGyro-std()-Y.mean","tBodyGyro-std()-Y.std","tBodyGyro-std()-Z.mean","tBodyGyro-std()-Z.std","tBodyGyroJerk-mean()-X.mean","tBodyGyroJerk-mean()-X.std","tBodyGyroJerk-mean()-Y.mean","tBodyGyroJerk-mean()-Y.std","tBodyGyroJerk-mean()-Z.mean","tBodyGyroJerk-mean()-Z.std","tBodyGyroJerk-std()-X.mean","tBodyGyroJerk-std()-X.std","tBodyGyroJerk-std()-Y.mean","tBodyGyroJerk-std()-Y.std","tBodyGyroJerk-std()-Z.mean","tBodyGyroJerk-std()-Z.std","tBodyAccMag-mean().mean","tBodyAccMag-mean().std","tBodyAccMag-std().mean","tBodyAccMag-std().std","tGravityAccMag-mean().mean","tGravityAccMag-mean().std","tGravityAccMag-std().mean","tGravityAccMag-std().std","tBodyAccJerkMag-mean().mean","tBodyAccJerkMag-mean().std","tBodyAccJerkMag-std().mean","tBodyAccJerkMag-std().std","tBodyGyroMag-mean().mean","tBodyGyroMag-mean().std","tBodyGyroMag-std().mean","tBodyGyroMag-std().std","tBodyGyroJerkMag-mean().mean","tBodyGyroJerkMag-mean().std","tBodyGyroJerkMag-std().mean","tBodyGyroJerkMag-std().std","fBodyAcc-mean()-X.mean","fBodyAcc-mean()-X.std","fBodyAcc-mean()-Y.mean","fBodyAcc-mean()-Y.std","fBodyAcc-mean()-Z.mean","fBodyAcc-mean()-Z.std","fBodyAcc-std()-X.mean","fBodyAcc-std()-X.std","fBodyAcc-std()-Y.mean","fBodyAcc-std()-Y.std","fBodyAcc-std()-Z.mean","fBodyAcc-std()-Z.std","fBodyAccJerk-mean()-X.mean","fBodyAccJerk-mean()-X.std","fBodyAccJerk-mean()-Y.mean","fBodyAccJerk-mean()-Y.std","fBodyAccJerk-mean()-Z.mean","fBodyAccJerk-mean()-Z.std","fBodyAccJerk-std()-X.mean","fBodyAccJerk-std()-X.std","fBodyAccJerk-std()-Y.mean","fBodyAccJerk-std()-Y.std","fBodyAccJerk-std()-Z.mean","fBodyAccJerk-std()-Z.std","fBodyGyro-mean()-X.mean","fBodyGyro-mean()-X.std","fBodyGyro-mean()-Y.mean","fBodyGyro-mean()-Y.std","fBodyGyro-mean()-Z.mean","fBodyGyro-mean()-Z.std","fBodyGyro-std()-X.mean","fBodyGyro-std()-X.std","fBodyGyro-std()-Y.mean","fBodyGyro-std()-Y.std","fBodyGyro-std()-Z.mean","fBodyGyro-std()-Z.std","fBodyAccMag-mean().mean","fBodyAccMag-mean().std","fBodyAccMag-std().mean","fBodyAccMag-std().std","fBodyBodyAccJerkMag-mean().mean","fBodyBodyAccJerkMag-mean().std","fBodyBodyAccJerkMag-std().mean","fBodyBodyAccJerkMag-std().std","fBodyBodyGyroMag-mean().mean","fBodyBodyGyroMag-mean().std","fBodyBodyGyroMag-std().mean","fBodyBodyGyroMag-std().std","fBodyBodyGyroJerkMag-mean().mean","fBodyBodyGyroJerkMag-mean().std","fBodyBodyGyroJerkMag-std().mean","fBodyBodyGyroJerkMag-std().std","train"
 1,"LAYING",0.221598244,0.168930385,-0.040513953, 0.118675803,-0.113203554, 0.174047090,-0.928056469, 0.122957402,-0.836827406, 0.331177484,-0.826061402, 0.288552887,-0.248881798, 0.220289463, 0.705549773, 0.282054386, 0.445817720, 0.388321183,-0.896830018, 0.187362173,-0.907720007, 0.225012896,-0.852366290, 0.289570966,0.081086534,0.052856545, 3.838204e-03, 9.859392e-02, 1.083424e-02, 1.143528e-01,-0.958482112, 0.075218597,-0.924149274, 0.163771649,-0.954855111, 0.088076323,-0.0165530940, 0.0771795031,-0.064486124, 0.059640408, 0.1486894363, 0.1622798987,-0.873543868, 0.234217291,-0.951090440, 0.088038848,-0.90828466, 0.13736305,-0.107270949, 0.153808689,-0.041517287, 0.040313622,-0.074050121, 0.056779435,-0.918608521, 0.172564261,-0.967907244, 0.066120162,-0.957790160, 0.079254071,-0.8419291525, 0.2886131229,-0.79514486, 0.34981225,-0.8419291525, 0.2886131229,-0.79514486, 0.34981225,-0.954396265, 0.090496009,-0.928245628, 0.154039484,-0.874759548, 0.166442388,-0.81901017, 0.31538246,-0.963461030, 0.074861575,-0.935840983, 0.132852076,-0.939099052, 0.103724513,-0.867065205, 0.269666137,-0.882666876, 0.199873400,-0.924437435, 0.130107812,-0.833625556, 0.339788646,-0.812891559, 0.309051085,-0.957073884, 0.078456049,-0.922462610, 0.168998865,-0.948060904, 0.099114525,-0.964160709, 0.064342347,-0.932217870, 0.144939741,-0.960586987, 0.076955250,-0.850249175, 0.286676169,-0.952191495, 0.089362881,-0.90930272, 0.13885831,-0.88229645, 0.21818891,-0.951232049, 0.086926579,-0.91658251, 0.12460691,-0.861767648, 0.233434202,-0.7983009404, 0.3463922563,-0.9333003608, 0.1437747078,-0.921803976, 0.165389919,-0.8621901854, 0.2542392377,-0.82431944, 0.30176730,-0.942366947, 0.119468404,-0.932660668, 0.139997580,1
 2,"LAYING",0.281373404,0.024191932,-0.018158740, 0.005013240,-0.107245610, 0.009554733,-0.974059465, 0.038564681,-0.980277399, 0.029959634,-0.984233297, 0.020999429,-0.509754238, 0.141664158, 0.752536639, 0.030675271, 0.646834880, 0.038876808,-0.959014441, 0.079559945,-0.988211865, 0.026024684,-0.984230418, 0.025964848,0.082597251,0.032414192, 1.225479e-02, 1.220776e-02,-1.802649e-03, 2.297024e-02,-0.985872169, 0.017690924,-0.983172541, 0.017993883,-0.988442014, 0.009038477,-0.0184766067, 0.0352221599,-0.111800825, 0.079570429, 0.1448828461, 0.1686326159,-0.988275233, 0.018881488,-0.982291609, 0.016666088,-0.96030656, 0.05159506,-0.101974134, 0.011860561,-0.035859018, 0.009262427,-0.070178302, 0.032714338,-0.993235849, 0.008020942,-0.989567538, 0.012442019,-0.988035821, 0.014929933,-0.9774354852, 0.0320246361,-0.97287391, 0.05050082,-0.9774354852, 0.0320246361,-0.97287391, 0.05050082,-0.987741696, 0.011420680,-0.985518076, 0.024768668,-0.950011570, 0.086035201,-0.96116405, 0.05716595,-0.991767074, 0.008558226,-0.989718095, 0.017041251,-0.976725060, 0.036548313,-0.979800878, 0.026138928,-0.984380982, 0.017945605,-0.973246482, 0.039667960,-0.981025106, 0.030233451,-0.984792185, 0.021389956,-0.985813631, 0.017255279,-0.982768250, 0.019206929,-0.986197135, 0.010930265,-0.987250256, 0.016614435,-0.984987393, 0.015067146,-0.989345369, 0.007119503,-0.986431142, 0.020955040,-0.983321635, 0.017400167,-0.96267189, 0.04940896,-0.98886069, 0.01818846,-0.981910616, 0.016365362,-0.96317422, 0.04775130,-0.975110196, 0.049456726,-0.9751213879, 0.0435648734,-0.9853741148, 0.0231108194,-0.984568489, 0.027020558,-0.9721129727, 0.0395958934,-0.96109838, 0.05805120,-0.990248702, 0.014630401,-0.989492660, 0.018804586,0
 3,"LAYING",0.275516853,0.014107546,-0.018955679, 0.007898628,-0.101300478, 0.021135145,-0.982776639, 0.017208445,-0.962057545, 0.049885264,-0.963691035, 0.052645258,-0.241758478, 0.057137861, 0.837032100, 0.042589095, 0.488703185, 0.076267416,-0.982512193, 0.024584437,-0.981202750, 0.039979909,-0.964807544, 0.063547851,0.076981113,0.012206707, 1.380410e-02, 3.223094e-02,-4.356259e-03, 3.826642e-02,-0.980879315, 0.016332146,-0.968710725, 0.031049490,-0.982093163, 0.015791474,-0.0208170540, 0.0306698038,-0.071850716, 0.035820728, 0.1379995611, 0.1497978399,-0.974545752, 0.027988187,-0.977272654, 0.024439784,-0.96350561, 0.04900871,-0.100044499, 0.014403959,-0.038977177, 0.015358561,-0.068733870, 0.032399231,-0.980328645, 0.020363087,-0.986762742, 0.014635018,-0.983338280, 0.016275253,-0.9727913461, 0.0341693672,-0.96421818, 0.05148978,-0.9727913461, 0.0341693672,-0.96421818, 0.05148978,-0.979484593, 0.018654870,-0.976121298, 0.027075135,-0.951564751, 0.072965770,-0.95427511, 0.05286328,-0.986713625, 0.013760059,-0.983139256, 0.019093000,-0.980665609, 0.019111893,-0.961169983, 0.046903625,-0.968332142, 0.041622059,-0.983691129, 0.016514638,-0.964094604, 0.048447578,-0.963279080, 0.054481526,-0.980513202, 0.017296306,-0.968752114, 0.031813157,-0.979122344, 0.018272953,-0.983122616, 0.013714387,-0.971044013, 0.027965640,-0.983711905, 0.013292164,-0.970167263, 0.032477325,-0.978099682, 0.024145327,-0.96234196, 0.04861985,-0.97598643, 0.02660332,-0.977032495, 0.024666287,-0.96725685, 0.04480247,-0.965524275, 0.050248762,-0.9683502174, 0.0445414779,-0.9759495979, 0.0256834846,-0.975305378, 0.029184415,-0.9645867248, 0.0404021698,-0.95544186, 0.05183425,-0.984278251, 0.017221408,-0.982568158, 0.020222419,1
 4,"LAYING",0.263559215,0.088418443,-0.015003184, 0.012274542,-0.110688150, 0.020154813,-0.954193739, 0.105115065,-0.941714042, 0.106389391,-0.962667315, 0.049860791,-0.420664662, 0.037001216, 0.915165104, 0.043089234, 0.341531311, 0.134093451,-0.921199966, 0.223885541,-0.969816636, 0.080086128,-0.976176609, 0.043959834,0.093449422,0.075206299, 6.933132e-03, 4.200038e-02,-6.410543e-03, 2.908554e-02,-0.978302781, 0.034317832,-0.942209488, 0.088742725,-0.978511984, 0.028978911,-0.0092315635, 0.0516934774,-0.093012818, 0.048982375, 0.1697204041, 0.1891081069,-0.973102422, 0.035710544,-0.961109292, 0.020867028,-0.96207376, 0.05091349,-0.105019878, 0.018706240,-0.038123043, 0.014944394,-0.071215629, 0.032922913,-0.975103204, 0.041552948,-0.986855630, 0.016307168,-0.983965360, 0.025173019,-0.9545576031, 0.0900982924,-0.93129222, 0.16750192,-0.9545576031, 0.0900982924,-0.93129222, 0.16750192,-0.970095772, 0.048136387,-0.960786431, 0.064787369,-0.930236463, 0.097115816,-0.94703178, 0.06345699,-0.985068502, 0.023236916,-0.982698214, 0.026486761,-0.958802078, 0.096627017,-0.938883374, 0.101805264,-0.967504279, 0.044529958,-0.952464881, 0.108378650,-0.946380971, 0.102235917,-0.962154454, 0.049143740,-0.978542457, 0.033470639,-0.943969987, 0.084473179,-0.975383329, 0.032724988,-0.980079293, 0.032229205,-0.944366882, 0.087669654,-0.980261236, 0.025237840,-0.967203736, 0.047907335,-0.972187839, 0.024236831,-0.96147926, 0.05163671,-0.97509474, 0.03196510,-0.956182500, 0.019707030,-0.96580747, 0.04621567,-0.939389701, 0.141048714,-0.9371879760, 0.1546672041,-0.9622871254, 0.0619740512,-0.958037119, 0.068283418,-0.9615566602, 0.0485281353,-0.94710033, 0.06219828,-0.983609073, 0.025438001,-0.982543632, 0.026204309,0
 5,"LAYING",0.278334326,0.032211986,-0.018304212, 0.005786303,-0.107937604, 0.013995711,-0.965934510, 0.063780238,-0.969295613, 0.038519664,-0.968562516, 0.034770025,-0.483470598, 0.032811290, 0.954890346, 0.011016728, 0.263644692, 0.040906360,-0.945695336, 0.125657391,-0.985964054, 0.029667140,-0.977076645, 0.033771058,0.084816482,0.046846010, 7.474608e-03, 2.073955e-02,-3.040672e-03, 1.972387e-02,-0.983307862, 0.014829215,-0.964560431, 0.030619364,-0.985419368, 0.012269620,-0.0218935014, 0.0263333790,-0.079870960, 0.029884704, 0.1598943669, 0.1728548944,-0.979498707, 0.020944149,-0.977427371, 0.013928506,-0.96058378, 0.04887110,-0.102114125, 0.014493306,-0.040444693, 0.011747078,-0.070830969, 0.031386947,-0.983422258, 0.012655791,-0.983759479, 0.013017803,-0.989679592, 0.010217781,-0.9667778829, 0.0506157701,-0.95861279, 0.08277647,-0.9667778829, 0.0506157701,-0.95861279, 0.08277647,-0.980141254, 0.017309979,-0.977477145, 0.025051242,-0.946938301, 0.078314292,-0.95828792, 0.04891437,-0.986419423, 0.011248553,-0.983771380, 0.014444299,-0.968741678, 0.057082483,-0.965419521, 0.036467143,-0.977007725, 0.023691985,-0.964953894, 0.066413781,-0.972909187, 0.037570978,-0.965882191, 0.037956698,-0.982689657, 0.015454114,-0.965328566, 0.030254806,-0.983250309, 0.013474210,-0.985625270, 0.012737841,-0.966242580, 0.029061906,-0.986135599, 0.011152855,-0.975797492, 0.023860058,-0.978249646, 0.016141511,-0.96320295, 0.04399732,-0.98070577, 0.02005725,-0.977257801, 0.012834232,-0.96330574, 0.04604283,-0.962234984, 0.074128484,-0.9625253694, 0.0747035367,-0.9773563798, 0.0249724924,-0.976381935, 0.025349979,-0.9682570688, 0.0339715760,-0.95926306, 0.04983178,-0.984618026, 0.014108637,-0.983434493, 0.014110527,1
 6,"LAYING",0.248656520,0.182203788,-0.010252917, 0.032706787,-0.133119570, 0.046721732,-0.934049422, 0.151948665,-0.924644826, 0.152057089,-0.925216100, 0.111735232,-0.476709879, 0.064368980, 0.956593814, 0.045781410, 0.175867709, 0.170870489,-0.887746310, 0.319947214,-0.959161956, 0.140541658,-0.928130738, 0.120444071,0.096348196,0.102873833,-1.145292e-03, 7.047723e-02, 3.288173e-03, 5.026331e-02,-0.966341055, 0.033969003,-0.933674494, 0.078467041,-0.959646055, 0.049316801,-0.0079605027, 0.0648531456,-0.107218315, 0.113533731, 0.1791020582, 0.2276402199,-0.955378225, 0.052143632,-0.943634949, 0.054484238,-0.93914188, 0.06935905,-0.111267285, 0.031645206,-0.042410429, 0.035530157,-0.071777474, 0.041738027,-0.939611608, 0.078585408,-0.958628820, 0.036971589,-0.959579072, 0.050236008,-0.9188788508, 0.1562875477,-0.89732625, 0.25919282,-0.9188788508, 0.1562875477,-0.89732625, 0.25919282,-0.954750505, 0.053710116,-0.950341934, 0.058826875,-0.908980175, 0.132426390,-0.92091450, 0.08997481,-0.955645738, 0.047427912,-0.953157002, 0.050466308,-0.939114254, 0.132713013,-0.923706791, 0.126599648,-0.938044912, 0.084363729,-0.932462941, 0.159117714,-0.929711220, 0.154864715,-0.924004748, 0.117254040,-0.967072437, 0.033256672,-0.936043420, 0.073018680,-0.954425845, 0.053879679,-0.968619159, 0.031787862,-0.935717453, 0.079493040,-0.963567541, 0.044988114,-0.935439770, 0.078385711,-0.941771544, 0.057092768,-0.93263661, 0.07901437,-0.96216498, 0.04346140,-0.945365098, 0.052674775,-0.94713677, 0.05977859,-0.912351652, 0.205302524,-0.9053739798, 0.2445790277,-0.9486554711, 0.0601005400,-0.951552664, 0.057307803,-0.9301536395, 0.0746722038,-0.92869489, 0.08528627,-0.953695957, 0.050182119,-0.955504655, 0.047638928,1
 7,"LAYING",0.250176694,0.123395734,-0.020441152, 0.029866841,-0.101361037, 0.027382084,-0.936513610, 0.107019751,-0.926262669, 0.125168803,-0.952978366, 0.092558139,-0.502814251, 0.067254070, 0.393444278, 0.184214913, 0.907537823, 0.090928849,-0.914221270, 0.227945127,-0.955543549, 0.093985297,-0.961908984, 0.105621645,0.096890402,0.089467042, 2.506242e-02, 6.350847e-02,-1.316539e-02, 5.585994e-02,-0.980977756, 0.029057566,-0.973093160, 0.043571827,-0.972983064, 0.042222637,-0.0028264191, 0.0520510974,-0.133605695, 0.143038721, 0.1559200298, 0.1760186631,-0.960126823, 0.068371359,-0.945071935, 0.037465278,-0.95529489, 0.06279546,-0.105944243, 0.045192196,-0.035889743, 0.023823815,-0.067190179, 0.044949913,-0.973837232, 0.044714005,-0.976483727, 0.036225749,-0.988871878, 0.017344120,-0.9363920238, 0.0980474316,-0.90703951, 0.21882580,-0.9363920238, 0.0980474316,-0.90703951, 0.21882580,-0.980127240, 0.027390705,-0.967310932, 0.063180376,-0.915793635, 0.112921556,-0.91866246, 0.10639414,-0.983008829, 0.023917427,-0.971205138, 0.052635673,-0.953424246, 0.107049047,-0.942193954, 0.102525383,-0.958611645, 0.075904924,-0.931120581, 0.107412026,-0.922917902, 0.128206123,-0.953380646, 0.094483043,-0.980393047, 0.029833575,-0.972531649, 0.044981387,-0.969524978, 0.046668615,-0.983560175, 0.025559365,-0.975886145, 0.038599701,-0.975072995, 0.037915873,-0.953684548, 0.086602345,-0.957570208, 0.044224706,-0.95690531, 0.06278740,-0.96234825, 0.06270955,-0.939727874, 0.034183100,-0.95887641, 0.05723013,-0.927976881, 0.174042582,-0.9105424629, 0.2061318662,-0.9680662592, 0.0593288543,-0.965359228, 0.067698168,-0.9411307192, 0.0859799774,-0.91889252, 0.10168901,-0.974117912, 0.045639731,-0.969403035, 0.057423712,1
 8,"LAYING",0.261254283,0.111711896,-0.021228173, 0.025576640,-0.102245366, 0.045674051,-0.943041215, 0.103568124,-0.934891160, 0.137405729,-0.932491454, 0.160655386,-0.405930036, 0.117873208, 0.589922435, 0.262045802, 0.719831539, 0.253227964,-0.918873192, 0.203731748,-0.957990036, 0.112797165,-0.941836263, 0.186324451,0.087832690,0.082424549, 2.332992e-02, 6.680951e-02,-1.692188e-02, 1.132222e-01,-0.973253042, 0.046551718,-0.976520952, 0.030496655,-0.966087575, 0.061466177, 0.0053536121, 0.0803012735,-0.089137414, 0.093228586, 0.1381883074, 0.1504711679,-0.965204018, 0.044328958,-0.952039386, 0.051646827,-0.96758975, 0.05315709,-0.106445008, 0.021200810,-0.038973520, 0.026863885,-0.069412315, 0.030749716,-0.969924077, 0.063900855,-0.974186452, 0.042808098,-0.987601204, 0.020125789,-0.9353086339, 0.1196564894,-0.91325033, 0.21602124,-0.9353086339, 0.1196564894,-0.91325033, 0.21602124,-0.973147490, 0.043922710,-0.962954517, 0.072149145,-0.924253349, 0.112644712,-0.93247076, 0.08436844,-0.978438191, 0.036944998,-0.969029112, 0.057201809,-0.953538564, 0.100246808,-0.951816664, 0.099712868,-0.944269514, 0.130650171,-0.940125298, 0.105508777,-0.931236757, 0.145751505,-0.931146498, 0.163904758,-0.973110596, 0.045509139,-0.975877437, 0.032211323,-0.962111137, 0.067339418,-0.975959911, 0.043552332,-0.979170882, 0.025996440,-0.968699223, 0.055802571,-0.957903886, 0.065746925,-0.957411160, 0.057544889,-0.96746124, 0.05143461,-0.96784636, 0.03749777,-0.950316471, 0.048526883,-0.97067197, 0.04901762,-0.932279646, 0.173881950,-0.9172579794, 0.2029168734,-0.9617928524, 0.0752176012,-0.963791094, 0.067875832,-0.9445289506, 0.0765266700,-0.93678697, 0.07613800,-0.968403946, 0.058464567,-0.971793280, 0.051475419,1
 9,"LAYING",0.259195537,0.108141068,-0.020526822, 0.017940497,-0.107549721, 0.014733309,-0.942333090, 0.095962591,-0.916292776, 0.064586748,-0.940707285, 0.060992108,-0.580252835, 0.154330903,-0.119154196, 0.305356100, 0.957873042, 0.023064720,-0.921821063, 0.220556079,-0.969994488, 0.036241028,-0.971204690, 0.071904474,0.088073448,0.072082891, 1.156173e-02, 4.349639e-02,-7.053678e-03, 3.877182e-02,-0.964740470, 0.029734069,-0.963996680, 0.029598615,-0.958562455, 0.036001782,-0.0136320361, 0.0412885939,-0.158902920, 0.193760894, 0.1012750107, 0.0906353859,-0.942246510, 0.038823938,-0.926618531, 0.051072307,-0.96159537, 0.03115587,-0.103846680, 0.015745561,-0.027552257, 0.029965535,-0.056949048, 0.019502323,-0.945329035, 0.049091994,-0.962170242, 0.034746357,-0.977076160, 0.018659542,-0.9308684376, 0.0843020559,-0.91512680, 0.15122271,-0.9308684376, 0.0843020559,-0.91512680, 0.15122271,-0.963374549, 0.031800137,-0.955026805, 0.039718011,-0.907125100, 0.095416431,-0.89855787, 0.07622213,-0.964524819, 0.030704576,-0.952801560, 0.042491423,-0.946865494, 0.085306696,-0.934366598, 0.057751695,-0.945919001, 0.051912568,-0.940981027, 0.100216491,-0.912836751, 0.065073414,-0.941971164, 0.061608587,-0.964304065, 0.030013943,-0.964082806, 0.029010163,-0.955909215, 0.036006654,-0.968601304, 0.026838256,-0.966634136, 0.028425638,-0.959714718, 0.036295767,-0.930297921, 0.051171226,-0.934579659, 0.050042263,-0.95981501, 0.03229529,-0.94638915, 0.03551620,-0.923131937, 0.052370540,-0.96568631, 0.02809284,-0.926604295, 0.125798334,-0.9219297384, 0.1405174100,-0.9543205856, 0.0403941361,-0.955094712, 0.039199419,-0.9186053356, 0.0634976898,-0.90340058, 0.07257467,-0.955806255, 0.039656783,-0.952290470, 0.043715277,0
10,"LAYING",0.280230574,0.063564849,-0.024294484, 0.046373742,-0.117168642, 0.062235796,-0.968283685, 0.064545254,-0.946454302, 0.119083059,-0.959471486, 0.112756608,-0.453069738, 0.072714178,-0.139297681, 0.830175040,-0.031121624, 0.590245154,-0.954531942, 0.119400502,-0.966701156, 0.117206708,-0.963045642, 0.137392488,0.073815064,0.042858825, 1.569900e-02, 4.133864e-02, 7.166896e-03, 6.896064e-02,-0.978007467, 0.026149580,-0.966930793, 0.050958527,-0.976256663, 0.036910349,-0.0195559372, 0.0361503081,-0.077032566, 0.159878161, 0.1047204783, 0.0950259969,-0.961713200, 0.090208046,-0.953660208, 0.058653486,-0.97194060, 0.05223039,-0.100308254, 0.034106858,-0.038879792, 0.024923763,-0.059074491, 0.029242263,-0.965900578, 0.063818672,-0.966621040, 0.036757711,-0.983949303, 0.025985559,-0.9567818197, 0.1106477157,-0.94030165, 0.16133343,-0.9567818197, 0.1106477157,-0.94030165, 0.16133343,-0.976234435, 0.031391241,-0.967556981, 0.051563742,-0.937590999, 0.105828485,-0.92747117, 0.11658317,-0.970830849, 0.033405691,-0.959632932, 0.049571586,-0.969184209, 0.058160584,-0.954341849, 0.077986837,-0.964300845, 0.082394698,-0.967968039, 0.067012420,-0.946229148, 0.129256568,-0.959813668, 0.119115368,-0.979014669, 0.024924553,-0.968039174, 0.046272594,-0.972592213, 0.042270622,-0.978904364, 0.025242832,-0.968120692, 0.052903119,-0.978582339, 0.031398469,-0.953793912, 0.096534853,-0.954670034, 0.057014787,-0.96975578, 0.05538789,-0.96454457, 0.08773977,-0.953453497, 0.059381125,-0.97529880, 0.04647466,-0.950848109, 0.114353100,-0.9443049747, 0.1575241101,-0.9685611216, 0.0472499773,-0.965377553, 0.056818598,-0.9376926426, 0.0899274953,-0.93370132, 0.11394446,-0.960976822, 0.045664172,-0.960772876, 0.051329894,0
